last seen position,churned_trial_users,churned_paid_users,active_paid_users
Resume Review::Your Master Resume Mindset::566,,1,
Resume Review::What to Put in Your Targeted Resume::566,,1,
Supervised Learning::Ensemble Learning Algorithm::566,1,,1
Supervised Learning::Ensemble Learning Outputs::567,,,1
Supervised Learning::Weak Learning::567,,1,2
Resume Review::Structure in your Target Resume::567,,,1
Resume Review::The Master Resume Mindset Quiz::567,,,
Resume Review::Your Resume Structure::568,,,1
Supervised Learning::Ensemble Learning An Example::568,1,,2
Resume Review::The Master Resume Mindset Quiz #2::568,,,
Supervised Learning::Boosting In Code::568,,2,1
Resume Review::Visual Style  Format Your Resume::569,,,
Resume Review::The Master Resume Mindset Quiz #3::569,,,
Supervised Learning::Ensemble Boosting::569,,,2
Supervised Learning::The Most Important Parts::569,2,3,2
Resume Review::Quiz: Resume Visual Style::570,,,1
Supervised Learning::Ensemble Boosting Quiz::570,,,5
Resume Review::Creating Your Master Resume::570,,,1
Supervised Learning::When D agrees::570,,1,3
Resume Review::Quiz: Resume Visual Style #2::571,,,
Supervised Learning::Ensemble Boosting Quiz Two::571,,,1
Resume Review::Sections of your Master Resume::571,3,,3
Supervised Learning::Final Hypothesis::571,,,3
Supervised Learning::Weak Learning::572,,1,2
Resume Review::Quiz: Resume sections::572,1,,2
Supervised Learning::Three Little Boxes::572,,,
Resume Review::Visual Style of Your Resume::572,1,,
Resume Review::Final Self Review Checklist::573,1,,2
Resume Review::Quiz: Heading section::573,,,1
Supervised Learning::Boosting In Code::573,,2,1
Supervised Learning::Which Hypothesis::573,,,1
Supervised Learning::Good Answers::574,,1,4
Resume Review::Resume Review - Project Overview::574,,,
Supervised Learning::The Most Important Parts::574,2,3,2
Resume Review::Quiz: Project Section::574,,,
Resume Review::Resume Review - Project Details::575,4,3,4
Resume Review::How To Complete Your Master Resume::575,,,
Supervised Learning::When D agrees::575,,1,3
Supervised Learning::Back to Boosting::575,1,,1
Cover Letter Review::Welcome to Class!::576,1,,
Resume Review::Master Resume - Bullet Point Statements::576,,,2
Supervised Learning::Boosting Tends to Overfit::576,,,2
Supervised Learning::Final Hypothesis::576,,,3
Cover Letter Review::What's a Cover Letter?::577,,,
Resume Review::Your own bullet point statement::577,,1,1
Supervised Learning::Three Little Boxes::577,,,
Supervised Learning::Summary::577,,2,36
Supervised Learning::Which Hypothesis::578,,,1
Cover Letter Review::Reflection Activity::578,,,
Resume Review::How to Write about Projects and Skills::578,,,4
Supervised Learning::Overview::578,,,1
Resume Review::Detailing Your Education::579,,,1
Cover Letter Review::What to Include in a Cover Letter::579,,,
Supervised Learning::Good Answers::579,,1,4
Supervised Learning::Software Requirements::579,,,
Supervised Learning::Back to Boosting::580,1,,1
Cover Letter Review::Targeting to a Job Posting::580,3,1,
Resume Review::Your Education Section::580,,,
Supervised Learning::Starting the Project::580,,,2
Cover Letter Review::Writing the Introduction::581,2,1,2
Supervised Learning::Submitting the Project::581,1,,7
Resume Review::Structuring Your Education Experience::581,,,
Supervised Learning::Boosting Tends to Overfit::581,,,2
Resume Review::Tips for Special Situations::582,1,,
Supervised Learning::Summary::582,,2,36
Resume Review::Introduction::582,7,1,5
Cover Letter Review::Writing the Body::582,,,1
Cover Letter Review::Writing the Conclusion::583,,,
Supervised Learning::Overview::583,3,1,3
Resume Review::Lesson Objectives::583,3,1,3
Resume Review::The Targeted Resume Mindset::583,,,
Resume Review::Targeted Resume  Audiences and Goals::584,,,
Supervised Learning::Software Requirements::584,4,2,1
Cover Letter Review::Formatting::584,1,1,1
Resume Review::Quick Tips Before We Start::584,1,,1
Cover Letter Review::Self-Evaluation::585,2,,1
Resume Review::Targeted Resume: Audience and Goals::585,,1,2
Supervised Learning::Starting the Project::585,5,4,6
Resume Review::Personal Reflection::585,,,1
Resume Review::What to Put in Your Targeted Resume::586,,1,
Supervised Learning::Submitting the Project::586,3,6,5
Cover Letter Review::Cover Letter Review - Project Overview::586,1,,2
Resume Review::My Master Resume Mindset::586,1,1,
Resume Review::Your Master Resume Mindset::587,,1,
Resume Review::Introduction::587,7,1,5
Cover Letter Review::Cover Letter Review - Project Details::587,,1,1
Resume Review::Structure in your Target Resume::587,,,1
Resume Review::Your Resume Structure::588,,,1
Resume Review::The Master Resume Mindset Quiz::588,,,
Resume Review::Lesson Objectives::588,3,1,3
Unsupervised Learning::Unsupervised Learning::588,6,3,1
Unsupervised Learning::What You'll Watch and Learn::589,2,2,2
Resume Review::Visual Style  Format Your Resume::589,,,
Resume Review::Quick Tips Before We Start::589,1,,1
Resume Review::The Master Resume Mindset Quiz #2::589,,,
Resume Review::Personal Reflection::590,,,1
Resume Review::Quiz: Resume Visual Style::590,,,1
Resume Review::The Master Resume Mindset Quiz #3::590,,,
Unsupervised Learning::Unsupervised Learning::590,3,,2
Unsupervised Learning::Clustering Movies::591,1,,
Resume Review::Creating Your Master Resume::591,,,1
Resume Review::My Master Resume Mindset::591,1,1,
Resume Review::Quiz: Resume Visual Style #2::591,,,
Resume Review::Your Master Resume Mindset::592,,1,
Unsupervised Learning::How Many Clusters?::592,,,
Resume Review::Sections of your Master Resume::592,3,,3
Resume Review::Visual Style of Your Resume::592,1,,
Resume Review::Final Self Review Checklist::593,1,,2
Unsupervised Learning::Match Points with Clusters::593,,,2
Resume Review::Quiz: Resume sections::593,1,,2
Resume Review::The Master Resume Mindset Quiz::593,,,
Unsupervised Learning::Optimizing Centers (Rubber Bands)::594,,,1
Resume Review::Resume Review - Project Overview::594,,,
Resume Review::The Master Resume Mindset Quiz #2::594,,,
Resume Review::Quiz: Heading section::594,,,1
Resume Review::The Master Resume Mindset Quiz #3::595,,,
Unsupervised Learning::Moving Centers 2::595,,,1
Resume Review::Resume Review - Project Details::595,4,3,4
Resume Review::Quiz: Project Section::595,,,
Resume Review::Creating Your Master Resume::596,,,1
Resume Review::How To Complete Your Master Resume::596,,,
Unsupervised Learning::Match Points (again)::596,1,,
Cover Letter Review::Welcome to Class!::596,1,,
Resume Review::Master Resume - Bullet Point Statements::597,,,2
Cover Letter Review::What's a Cover Letter?::597,,,
Unsupervised Learning::Handoff to Katie::597,,,
Resume Review::Sections of your Master Resume::597,3,,3
Cover Letter Review::Reflection Activity::598,,,
Unsupervised Learning::K-Means Cluster Visualization::598,,,3
Resume Review::Quiz: Resume sections::598,1,,2
Resume Review::Your own bullet point statement::598,,1,1
Resume Review::How to Write about Projects and Skills::599,,,4
Resume Review::Quiz: Heading section::599,,,1
Unsupervised Learning::K-Means Clustering Visualization 2::599,,,1
Cover Letter Review::What to Include in a Cover Letter::599,,,
Resume Review::Detailing Your Education::600,,,1
Cover Letter Review::Targeting to a Job Posting::600,3,1,
Unsupervised Learning::K-Means Clustering Visualization 3::600,,,
Resume Review::Quiz: Project Section::600,,,
Cover Letter Review::Writing the Introduction::601,2,1,2
Resume Review::Your Education Section::601,,,
Unsupervised Learning::Sklearn::601,1,1,1
Resume Review::How To Complete Your Master Resume::601,,,
Unsupervised Learning::Some challenges of k-means::602,,1,
Cover Letter Review::Writing the Body::602,,,1
Resume Review::Structuring Your Education Experience::602,,,
Resume Review::Master Resume - Bullet Point Statements::602,,,2
Resume Review::Tips for Special Situations::603,1,,
Unsupervised Learning::Limitations of K-Means::603,,,
Resume Review::Your own bullet point statement::603,,1,1
Cover Letter Review::Writing the Conclusion::603,,,
Resume Review::The Targeted Resume Mindset::604,,,
Cover Letter Review::Formatting::604,1,1,1
Unsupervised Learning::Counterintuitive Clusters::604,,,1
Resume Review::How to Write about Projects and Skills::604,,,4
Unsupervised Learning::Counterintuitive Clusters 2::605,2,1,
Resume Review::Targeted Resume  Audiences and Goals::605,,,
Resume Review::Detailing Your Education::605,,,1
Cover Letter Review::Self-Evaluation::605,2,,1
Cover Letter Review::Cover Letter Review - Project Overview::606,1,,2
Resume Review::Targeted Resume: Audience and Goals::606,,1,2
Unsupervised Learning::Single Linkage Clustering::606,2,1,3
Resume Review::Your Education Section::606,,,
Unsupervised Learning::Single Linkage Clustering Two::607,,,2
Cover Letter Review::Cover Letter Review - Project Details::607,,1,1
Resume Review::Structuring Your Education Experience::607,,,
Resume Review::What to Put in Your Targeted Resume::607,,1,
Resume Review::Tips for Special Situations::608,1,,
Unsupervised Learning::Running Time of SLC::608,,2,1
Unsupervised Learning::Unsupervised Learning::608,6,3,1
Resume Review::Structure in your Target Resume::608,,,1
Resume Review::Your Resume Structure::609,,,1
Unsupervised Learning::Issues With SLC::609,1,,1
Resume Review::The Targeted Resume Mindset::609,,,
Unsupervised Learning::What You'll Watch and Learn::609,2,2,2
Resume Review::Visual Style  Format Your Resume::610,,,
Unsupervised Learning::Unsupervised Learning::610,3,,2
Unsupervised Learning::Soft Clustering Quiz::610,,,1
Resume Review::Targeted Resume  Audiences and Goals::610,,,
Unsupervised Learning::Clustering Movies::611,1,,
Unsupervised Learning::Soft Clustering::611,1,,5
Resume Review::Quiz: Resume Visual Style::611,,,1
Resume Review::Targeted Resume: Audience and Goals::611,,1,2
Resume Review::What to Put in Your Targeted Resume::612,,1,
Unsupervised Learning::Maximum Likelihood Gaussian::612,,1,2
Resume Review::Quiz: Resume Visual Style #2::612,,,
Unsupervised Learning::How Many Clusters?::612,,,
Resume Review::Structure in your Target Resume::613,,,1
Unsupervised Learning::Expectation Maximization::613,1,,5
Resume Review::Visual Style of Your Resume::613,1,,
Unsupervised Learning::Match Points with Clusters::613,,,2
Resume Review::Final Self Review Checklist::614,1,,2
Unsupervised Learning::Optimizing Centers (Rubber Bands)::614,,,1
Resume Review::Your Resume Structure::614,,,1
Unsupervised Learning::EM Examples::614,1,1,1
Resume Review::Visual Style  Format Your Resume::615,,,
Unsupervised Learning::Properties of EM::615,1,1,3
Resume Review::Resume Review - Project Overview::615,,,
Unsupervised Learning::Moving Centers 2::615,,,1
Resume Review::Quiz: Resume Visual Style::616,,,1
Unsupervised Learning::Clustering Properties::616,,,3
Unsupervised Learning::Match Points (again)::616,1,,
Resume Review::Resume Review - Project Details::616,4,3,4
Unsupervised Learning::Clustering Properties Quiz::617,,1,1
Resume Review::Quiz: Resume Visual Style #2::617,,,
Unsupervised Learning::Handoff to Katie::617,,,
Cover Letter Review::Welcome to Class!::617,1,,
Unsupervised Learning::Impossibility Theorem::618,,1,1
Cover Letter Review::What's a Cover Letter?::618,,,
Unsupervised Learning::K-Means Cluster Visualization::618,,,3
Resume Review::Visual Style of Your Resume::618,1,,
Cover Letter Review::Reflection Activity::619,,,
Unsupervised Learning::What Have We Learned?::619,,,1
Unsupervised Learning::K-Means Clustering Visualization 2::619,,,1
Resume Review::Final Self Review Checklist::619,1,,2
Unsupervised Learning::K-Means Clustering Visualization 3::620,,,
Unsupervised Learning::Clustering Mini-Project Video::620,1,1,
Resume Review::Resume Review - Project Overview::620,,,
Cover Letter Review::What to Include in a Cover Letter::620,,,
Resume Review::Resume Review - Project Details::621,4,3,4
Cover Letter Review::Targeting to a Job Posting::621,3,1,
Unsupervised Learning::Sklearn::621,1,1,1
Unsupervised Learning::K-Means Clustering Mini-Project::621,1,1,3
Cover Letter Review::Writing the Introduction::622,2,1,2
Unsupervised Learning::Clustering Features::622,1,1,2
Unsupervised Learning::Some challenges of k-means::622,,1,
Cover Letter Review::Welcome to Class!::622,1,,
Cover Letter Review::Writing the Body::623,,,1
Cover Letter Review::What's a Cover Letter?::623,,,
Unsupervised Learning::Limitations of K-Means::623,,,
Unsupervised Learning::Deploying Clustering::623,1,,3
Unsupervised Learning::Clustering with 3 Features::624,,,2
Cover Letter Review::Reflection Activity::624,,,
Cover Letter Review::Writing the Conclusion::624,,,
Unsupervised Learning::Counterintuitive Clusters::624,,,1
Unsupervised Learning::Counterintuitive Clusters 2::625,2,1,
Unsupervised Learning::Stock Option Range::625,,,
Cover Letter Review::Formatting::625,1,1,1
Cover Letter Review::What to Include in a Cover Letter::625,,,
Cover Letter Review::Self-Evaluation::626,2,,1
Cover Letter Review::Targeting to a Job Posting::626,3,1,
Unsupervised Learning::Salary Range::626,,,
Unsupervised Learning::Single Linkage Clustering::626,2,1,3
Unsupervised Learning::Clustering Changes::627,,,1
Cover Letter Review::Cover Letter Review - Project Overview::627,1,,2
Cover Letter Review::Writing the Introduction::627,2,1,2
Unsupervised Learning::Single Linkage Clustering Two::627,,,2
Cover Letter Review::Cover Letter Review - Project Details::628,,1,1
Unsupervised Learning::Running Time of SLC::628,,2,1
Cover Letter Review::Writing the Body::628,,,1
Unsupervised Learning::Chris's T-Shirt Size (Intuition)::628,1,,5
Unsupervised Learning::Unsupervised Learning::629,6,3,1
Unsupervised Learning::Issues With SLC::629,1,,1
Unsupervised Learning::A Metric for Chris::629,,1,1
Cover Letter Review::Writing the Conclusion::629,,,
Unsupervised Learning::Soft Clustering Quiz::630,,,1
Cover Letter Review::Formatting::630,1,1,1
Unsupervised Learning::What You'll Watch and Learn::630,2,2,2
Unsupervised Learning::Height  Weight for Cameron::630,,,
Unsupervised Learning::Unsupervised Learning::631,3,,2
Cover Letter Review::Self-Evaluation::631,2,,1
Unsupervised Learning::Soft Clustering::631,1,,5
Unsupervised Learning::Sarah's Height  Weight::631,,,
Cover Letter Review::Cover Letter Review - Project Overview::632,1,,2
Unsupervised Learning::Maximum Likelihood Gaussian::632,,1,2
Unsupervised Learning::Chris's Shirt Size by Our Metric::632,,,
Unsupervised Learning::Clustering Movies::632,1,,
Unsupervised Learning::Expectation Maximization::633,1,,5
Cover Letter Review::Cover Letter Review - Project Details::633,,1,1
Unsupervised Learning::How Many Clusters?::633,,,
Unsupervised Learning::Comparing Features with Different Scales::633,,1,
Unsupervised Learning::EM Examples::634,1,1,1
Unsupervised Learning::Match Points with Clusters::634,,,2
Unsupervised Learning::Feature Scaling Formula Quiz 1::634,,,
Unsupervised Learning::Unsupervised Learning::634,6,3,1
Unsupervised Learning::Optimizing Centers (Rubber Bands)::635,,,1
Unsupervised Learning::Feature Scaling Formula Quiz 2::635,,,
Unsupervised Learning::What You'll Watch and Learn::635,2,2,2
Unsupervised Learning::Properties of EM::635,1,1,3
Unsupervised Learning::Feature Scaling Formula Quiz 3::636,,,
Unsupervised Learning::Clustering Properties::636,,,3
Unsupervised Learning::Moving Centers 2::636,,,1
Unsupervised Learning::Unsupervised Learning::636,3,,2
Unsupervised Learning::Min/Max Rescaler Coding Quiz::637,1,,1
Unsupervised Learning::Clustering Properties Quiz::637,,1,1
Unsupervised Learning::Match Points (again)::637,1,,
Unsupervised Learning::Clustering Movies::637,1,,
Unsupervised Learning::How Many Clusters?::638,,,
Unsupervised Learning::Impossibility Theorem::638,,1,1
Unsupervised Learning::Min/Max Scaler in sklearn::638,,,1
Unsupervised Learning::Handoff to Katie::638,,,
Unsupervised Learning::Quiz on Algorithms Requiring Rescaling::639,1,,
Unsupervised Learning::K-Means Cluster Visualization::639,,,3
Unsupervised Learning::What Have We Learned?::639,,,1
Unsupervised Learning::Match Points with Clusters::639,,,2
Unsupervised Learning::Introduction::640,,1,4
Unsupervised Learning::Clustering Mini-Project Video::640,1,1,
Unsupervised Learning::K-Means Clustering Visualization 2::640,,,1
Unsupervised Learning::Optimizing Centers (Rubber Bands)::640,,,1
Unsupervised Learning::K-Means Clustering Mini-Project::641,1,1,3
Unsupervised Learning::K-Means Clustering Visualization 3::641,,,
Unsupervised Learning::Feature Selection::641,3,,1
Unsupervised Learning::Moving Centers 2::641,,,1
Unsupervised Learning::Sklearn::642,1,1,1
Unsupervised Learning::Match Points (again)::642,1,,
Unsupervised Learning::Clustering Features::642,1,1,2
Unsupervised Learning::Algorithms::642,,,2
Unsupervised Learning::Some challenges of k-means::643,,1,
Unsupervised Learning::Handoff to Katie::643,,,
Unsupervised Learning::Filtering and Wrapping::643,1,,
Unsupervised Learning::Deploying Clustering::643,1,,3
Unsupervised Learning::K-Means Cluster Visualization::644,,,3
Unsupervised Learning::Limitations of K-Means::644,,,
Unsupervised Learning::Speed::644,,1,1
Unsupervised Learning::Clustering with 3 Features::644,,,2
Unsupervised Learning::Stock Option Range::645,,,
Unsupervised Learning::K-Means Clustering Visualization 2::645,,,1
Unsupervised Learning::Counterintuitive Clusters::645,,,1
Unsupervised Learning::Wrapping::645,1,,1
Unsupervised Learning::K-Means Clustering Visualization 3::646,,,
Unsupervised Learning::Counterintuitive Clusters 2::646,2,1,
Unsupervised Learning::Searching::646,,,1
Unsupervised Learning::Salary Range::646,,,
Unsupervised Learning::Sklearn::647,1,1,1
Unsupervised Learning::Clustering Changes::647,,,1
Unsupervised Learning::Minimum features required::647,,,2
Unsupervised Learning::Single Linkage Clustering::647,2,1,3
Unsupervised Learning::Some challenges of k-means::648,,1,
Unsupervised Learning::Chris's T-Shirt Size (Intuition)::648,1,,5
Unsupervised Learning::Single Linkage Clustering Two::648,,,2
Unsupervised Learning::Relevance::648,1,,2
Unsupervised Learning::Relevance vs Usefulness::649,,,
Unsupervised Learning::Limitations of K-Means::649,,,
Unsupervised Learning::Running Time of SLC::649,,2,1
Unsupervised Learning::A Metric for Chris::649,,1,1
Unsupervised Learning::Issues With SLC::650,1,,1
Unsupervised Learning::Height  Weight for Cameron::650,,,
Unsupervised Learning::What Have We Learned::650,,1,3
Unsupervised Learning::Counterintuitive Clusters::650,,,1
Unsupervised Learning::Counterintuitive Clusters 2::651,2,1,
Unsupervised Learning::Data Dimensionality::651,,2,4
Unsupervised Learning::Sarah's Height  Weight::651,,,
Unsupervised Learning::Soft Clustering Quiz::651,,,1
Unsupervised Learning::Single Linkage Clustering::652,2,1,3
Unsupervised Learning::Chris's Shirt Size by Our Metric::652,,,
Unsupervised Learning::Trickier Data Dimensionality::652,,,
Unsupervised Learning::Soft Clustering::652,1,,5
Unsupervised Learning::Comparing Features with Different Scales::653,,1,
"Unsupervised Learning::One-Dimensional, or Two?::653",,1,1
Unsupervised Learning::Maximum Likelihood Gaussian::653,,1,2
Unsupervised Learning::Single Linkage Clustering Two::653,,,2
Unsupervised Learning::Expectation Maximization::654,1,,5
Unsupervised Learning::Running Time of SLC::654,,2,1
Unsupervised Learning::Feature Scaling Formula Quiz 1::654,,,
Unsupervised Learning::Slightly Less Perfect Data::654,1,,
Unsupervised Learning::Issues With SLC::655,1,,1
Unsupervised Learning::Feature Scaling Formula Quiz 2::655,,,
Unsupervised Learning::EM Examples::655,1,1,1
Unsupervised Learning::Trickiest Data Dimensionality::655,,,
Unsupervised Learning::Properties of EM::656,1,1,3
Unsupervised Learning::Feature Scaling Formula Quiz 3::656,,,
Unsupervised Learning::PCA for Data Transformation::656,,,
Unsupervised Learning::Soft Clustering Quiz::656,,,1
Unsupervised Learning::Clustering Properties::657,,,3
Unsupervised Learning::Center of a New Coordinate System::657,,,
Unsupervised Learning::Soft Clustering::657,1,,5
Unsupervised Learning::Min/Max Rescaler Coding Quiz::657,1,,1
Unsupervised Learning::Min/Max Scaler in sklearn::658,,,1
Unsupervised Learning::Principal Axis of New Coordinate System::658,,,
Unsupervised Learning::Maximum Likelihood Gaussian::658,,1,2
Unsupervised Learning::Clustering Properties Quiz::658,,1,1
Unsupervised Learning::Expectation Maximization::659,1,,5
Unsupervised Learning::Impossibility Theorem::659,,1,1
Unsupervised Learning::Second Principal Component of New System::659,,,
Unsupervised Learning::Quiz on Algorithms Requiring Rescaling::659,1,,
Unsupervised Learning::EM Examples::660,1,1,1
Unsupervised Learning::Introduction::660,,1,4
Unsupervised Learning::Practice Finding Centers::660,,,
Unsupervised Learning::What Have We Learned?::660,,,1
Unsupervised Learning::Practice Finding New Axes::661,,,
Unsupervised Learning::Feature Selection::661,3,,1
Unsupervised Learning::Properties of EM::661,1,1,3
Unsupervised Learning::Clustering Mini-Project Video::661,1,1,
Unsupervised Learning::Clustering Properties::662,,,3
Unsupervised Learning::K-Means Clustering Mini-Project::662,1,1,3
Unsupervised Learning::Algorithms::662,,,2
Unsupervised Learning::Which Data is Ready for PCA::662,,,
Unsupervised Learning::Clustering Properties Quiz::663,,1,1
Unsupervised Learning::Clustering Features::663,1,1,2
Unsupervised Learning::Filtering and Wrapping::663,1,,
Unsupervised Learning::When Does an Axis Dominate::663,,,
Unsupervised Learning::Impossibility Theorem::664,,1,1
Unsupervised Learning::Speed::664,,1,1
Unsupervised Learning::Measurable vs. Latent Features Quiz::664,,,1
Unsupervised Learning::Deploying Clustering::664,1,,3
Unsupervised Learning::Wrapping::665,1,,1
Unsupervised Learning::From Four Features to Two::665,,1,
Unsupervised Learning::What Have We Learned?::665,,,1
Unsupervised Learning::Clustering with 3 Features::665,,,2
Unsupervised Learning::Stock Option Range::666,,,
Unsupervised Learning::Searching::666,,,1
Unsupervised Learning::Compression While Preserving Information::666,,,1
Unsupervised Learning::Clustering Mini-Project Video::666,1,1,
Unsupervised Learning::Composite Features::667,,,1
Unsupervised Learning::Minimum features required::667,,,2
Unsupervised Learning::K-Means Clustering Mini-Project::667,1,1,3
Unsupervised Learning::Salary Range::667,,,
Unsupervised Learning::Maximal Variance::668,,,
Unsupervised Learning::Clustering Features::668,1,1,2
Unsupervised Learning::Relevance::668,1,,2
Unsupervised Learning::Clustering Changes::668,,,1
Unsupervised Learning::Deploying Clustering::669,1,,3
Unsupervised Learning::Chris's T-Shirt Size (Intuition)::669,1,,5
Unsupervised Learning::Advantages of Maximal Variance::669,,,
Unsupervised Learning::Relevance vs Usefulness::669,,,
Unsupervised Learning::Maximal Variance and Information Loss::670,,,
Unsupervised Learning::What Have We Learned::670,,1,3
Unsupervised Learning::A Metric for Chris::670,,1,1
Unsupervised Learning::Clustering with 3 Features::670,,,2
Unsupervised Learning::Info Loss and Principal Components::671,,,1
Unsupervised Learning::Height  Weight for Cameron::671,,,
Unsupervised Learning::Stock Option Range::671,,,
Unsupervised Learning::Data Dimensionality::671,,2,4
Unsupervised Learning::Trickier Data Dimensionality::672,,,
Unsupervised Learning::Sarah's Height  Weight::672,,,
Unsupervised Learning::Neighborhood Composite Feature::672,,,1
Unsupervised Learning::Salary Range::672,,,
"Unsupervised Learning::One-Dimensional, or Two?::673",,1,1
Unsupervised Learning::PCA for Feature Transformation::673,,,1
Unsupervised Learning::Chris's Shirt Size by Our Metric::673,,,
Unsupervised Learning::Clustering Changes::673,,,1
Unsupervised Learning::Comparing Features with Different Scales::674,,1,
Unsupervised Learning::Slightly Less Perfect Data::674,1,,
Unsupervised Learning::Chris's T-Shirt Size (Intuition)::674,1,,5
Unsupervised Learning::Maximum Number of PCs Quiz::674,,,
Unsupervised Learning::Review/Definition of PCA::675,,,1
Unsupervised Learning::Feature Scaling Formula Quiz 1::675,,,
Unsupervised Learning::A Metric for Chris::675,,1,1
Unsupervised Learning::Trickiest Data Dimensionality::675,,,
Unsupervised Learning::Feature Scaling Formula Quiz 2::676,,,
Unsupervised Learning::Height  Weight for Cameron::676,,,
Unsupervised Learning::Applying PCA to Real Data::676,,,1
Unsupervised Learning::PCA for Data Transformation::676,,,
Unsupervised Learning::Center of a New Coordinate System::677,,,
Unsupervised Learning::Sarah's Height  Weight::677,,,
Unsupervised Learning::Feature Scaling Formula Quiz 3::677,,,
Unsupervised Learning::PCA on the Enron Finance Data::677,,,
Unsupervised Learning::Chris's Shirt Size by Our Metric::678,,,
Unsupervised Learning::PCA in sklearn::678,,1,2
Unsupervised Learning::Min/Max Rescaler Coding Quiz::678,1,,1
Unsupervised Learning::Principal Axis of New Coordinate System::678,,,
Unsupervised Learning::Min/Max Scaler in sklearn::679,,,1
Unsupervised Learning::When to Use PCA::679,,,1
Unsupervised Learning::Second Principal Component of New System::679,,,
Unsupervised Learning::Comparing Features with Different Scales::679,,1,
Unsupervised Learning::Quiz on Algorithms Requiring Rescaling::680,1,,
Unsupervised Learning::Practice Finding Centers::680,,,
Unsupervised Learning::Feature Scaling Formula Quiz 1::680,,,
Unsupervised Learning::PCA for Facial Recognition::680,,,
Unsupervised Learning::Feature Scaling Formula Quiz 2::681,,,
Unsupervised Learning::Eigenfaces Code::681,,,
Unsupervised Learning::Practice Finding New Axes::681,,,
Unsupervised Learning::Introduction::681,,1,4
Unsupervised Learning::PCA Mini-Project Intro::682,,,1
Unsupervised Learning::Which Data is Ready for PCA::682,,,
Unsupervised Learning::Feature Selection::682,3,,1
Unsupervised Learning::Feature Scaling Formula Quiz 3::682,,,
Unsupervised Learning::Min/Max Rescaler Coding Quiz::683,1,,1
Unsupervised Learning::PCA Mini-Project::683,2,1,2
Unsupervised Learning::When Does an Axis Dominate::683,,,
Unsupervised Learning::Algorithms::683,,,2
Unsupervised Learning::Explained Variance of Each PC::684,1,,2
Unsupervised Learning::Measurable vs. Latent Features Quiz::684,,,1
Unsupervised Learning::Filtering and Wrapping::684,1,,
Unsupervised Learning::Min/Max Scaler in sklearn::684,,,1
Unsupervised Learning::Speed::685,,1,1
Unsupervised Learning::From Four Features to Two::685,,1,
Unsupervised Learning::How Many PCs to Use?::685,,1,
Unsupervised Learning::Quiz on Algorithms Requiring Rescaling::685,1,,
Unsupervised Learning::Wrapping::686,1,,1
Unsupervised Learning::Introduction::686,,1,4
Unsupervised Learning::F1 Score vs. No. of PCs Used::686,,,
Unsupervised Learning::Compression While Preserving Information::686,,,1
Unsupervised Learning::Searching::687,,,1
Unsupervised Learning::Dimensionality Reduction and Overfitting::687,,,
Unsupervised Learning::Feature Selection::687,3,,1
Unsupervised Learning::Composite Features::687,,,1
Unsupervised Learning::Maximal Variance::688,,,
Unsupervised Learning::Minimum features required::688,,,2
Unsupervised Learning::Algorithms::688,,,2
Unsupervised Learning::Selecting Principal Components::688,,,1
Unsupervised Learning::Relevance::689,1,,2
Unsupervised Learning::Introduction::689,1,2,6
Unsupervised Learning::Advantages of Maximal Variance::689,,,
Unsupervised Learning::Filtering and Wrapping::689,1,,
Unsupervised Learning::Relevance vs Usefulness::690,,,
Unsupervised Learning::Speed::690,,1,1
Unsupervised Learning::Feature Transformation::690,1,,
Unsupervised Learning::Maximal Variance and Information Loss::690,,,
Unsupervised Learning::What Have We Learned::691,,1,3
Unsupervised Learning::Wrapping::691,1,,1
Unsupervised Learning::Info Loss and Principal Components::691,,,1
Unsupervised Learning::What Are Our Features::691,,,1
Unsupervised Learning::Searching::692,,,1
Unsupervised Learning::Neighborhood Composite Feature::692,,,1
Unsupervised Learning::Words Like Tesla::692,1,,
Unsupervised Learning::Data Dimensionality::692,,2,4
Unsupervised Learning::PCA for Feature Transformation::693,,,1
Unsupervised Learning::Minimum features required::693,,,2
Unsupervised Learning::Trickier Data Dimensionality::693,,,
Unsupervised Learning::Independent Components Analysis::693,,,
Unsupervised Learning::Maximum Number of PCs Quiz::694,,,
Unsupervised Learning::Independent Components Analysis Two::694,1,,3
"Unsupervised Learning::One-Dimensional, or Two?::694",,1,1
Unsupervised Learning::Relevance::694,1,,2
Unsupervised Learning::Relevance vs Usefulness::695,,,
Unsupervised Learning::Review/Definition of PCA::695,,,1
Unsupervised Learning::Slightly Less Perfect Data::695,1,,
Unsupervised Learning::Cocktail Party Problem::695,,,
Unsupervised Learning::Matrix::696,,,
Unsupervised Learning::Applying PCA to Real Data::696,,,1
Unsupervised Learning::What Have We Learned::696,,1,3
Unsupervised Learning::Trickiest Data Dimensionality::696,,,
Unsupervised Learning::PCA for Data Transformation::697,,,
Unsupervised Learning::PCA on the Enron Finance Data::697,,,
Unsupervised Learning::Data Dimensionality::697,,2,4
Unsupervised Learning::PCA vs ICA::697,,1,3
Unsupervised Learning::PCA vs ICA Continued::698,,,
Unsupervised Learning::Trickier Data Dimensionality::698,,,
Unsupervised Learning::PCA in sklearn::698,,1,2
Unsupervised Learning::Center of a New Coordinate System::698,,,
"Unsupervised Learning::One-Dimensional, or Two?::699",,1,1
Unsupervised Learning::Alternatives::699,,,1
Unsupervised Learning::When to Use PCA::699,,,1
Unsupervised Learning::Principal Axis of New Coordinate System::699,,,
